from_id,to_id,edge_kind,edge_role,pct_capital,pct_votos,qty_ordinarias,qty_preferenciais,source_doc,source_locator,source_retrieved_at
66778899,00864214,participacao,,8.5,6.3,,,Energisa QSA minority Squadra,QSA fixture,2026-08-20
77889900,00864214,participacao,,4.2,3.1,,,Energisa QSA minority Opportunity,QSA fixture,2026-08-20
Gestora QSA_1,66778899,participacao,socio,,,,,Squadra QSA gestora,QSA fixture,2026-08-20
Adm QSA_1,77889900,participacao,socio,,,,,Opportunity QSA administrador,QSA fixture,2026-08-20
Fictício A_1,99887766,participacao,socio,40.0,40.0,,,Multisetor QSA socio 1,QSA fixture,2026-08-20
Fictícia B_1,99887766,participacao,socio,35.0,35.0,,,Multisetor QSA socio 2,QSA fixture,2026-08-20
Fictício C_1,99887766,participacao,socio,25.0,25.0,,,Multisetor QSA socio 3,QSA fixture,2026-08-20
11122233344,55667788,participacao,socio,50.0,50.0,,,Itacatu QSA additional socio,QSA fixture,2026-08-20
22233344455,11223344,participacao,socio,30.0,30.0,,,Nova Gipar QSA additional socio,QSA fixture,2026-08-20
88990011,00864214,participacao,,3.8,2.9,,,BNDESPAR minority in Energisa,QSA fixture,2026-08-20
99001122,88990011,participacao,socio,100.0,100.0,,,BNDES controls BNDESPAR,QSA fixture,2026-08-20
00112233,99001122,participacao,socio,100.0,100.0,,,União controls BNDES,QSA fixture,2026-08-20
10203040,30405060,participacao,socio,45.0,45.0,,,Holding Fechada in state company,QSA fixture,2026-08-20
20304050,10203040,participacao,socio,51.0,51.0,,,Estado SP controls state company,QSA fixture,2026-08-20
11122233344,30405060,participacao,socio,60.0,60.0,,,Holding Fechada unlisted QSA,QSA fixture,2026-08-20
